dia,stock
0.0,200
1.0,197
2.0,192
3.0,185
4.0,181
5.0,175
6.0,171
7.0,168
8.0,164
9.0,162
10.0,159
11.0,155
12.0,148
13.0,147
14.0,142
15.0,136
16.0,133
17.0,127
18.0,123
19.0,116
20.0,110
21.0,108
22.0,101
23.0,98
24.0,90
25.0,84
26.0,80
27.0,74
28.0,71
29.0,70
30.0,65
31.0,61
32.0,57
33.0,51
34.0,187
35.0,184
36.0,178
37.0,172
38.0,166
39.0,160
40.0,156
41.0,149
42.0,148
43.0,141
44.0,136
45.0,131
46.0,126
47.0,120
48.0,109
49.0,108
50.0,106
51.0,103
52.0,98
53.0,91
54.0,84
55.0,79
56.0,75
57.0,71
58.0,65
59.0,60
60.0,52
61.0,46
62.0,178
63.0,174
64.0,166
65.0,161
66.0,159
67.0,154
68.0,146
69.0,138
70.0,135
71.0,132
72.0,127
73.0,122
74.0,111
75.0,103
76.0,100
77.0,92
78.0,83
79.0,79
80.0,74
81.0,72
82.0,69
83.0,66
84.0,57
85.0,192
86.0,188
87.0,182
88.0,180
89.0,178
90.0,173
91.0,165
92.0,162
93.0,159
94.0,156
95.0,154
96.0,150
97.0,148
98.0,139
99.0,133
100.0,127
101.0,124
102.0,116
103.0,112
104.0,107
105.0,100
106.0,100
107.0,98
108.0,92
109.0,87
110.0,81
111.0,73
112.0,69
113.0,63
114.0,58
115.0,46
116.0,40
117.0,176
118.0,170
119.0,167
120.0,163
121.0,154
122.0,153
123.0,150
124.0,148
125.0,142
126.0,137
127.0,129
128.0,124
129.0,119
130.0,113
131.0,107
132.0,99
133.0,95
134.0,91
135.0,88
136.0,83
137.0,82
138.0,81
139.0,77
140.0,73
141.0,68
142.0,67
143.0,62
144.0,58
145.0,51
146.0,188
147.0,182
148.0,175
149.0,171
150.0,170
151.0,165
152.0,164
153.0,160
154.0,155
155.0,151
156.0,146
157.0,143
158.0,139
159.0,135
160.0,126
161.0,118
162.0,115
163.0,109
164.0,103
165.0,99
166.0,92
167.0,86
168.0,83
169.0,76
170.0,71
171.0,68
172.0,61
173.0,56
174.0,193
175.0,189
176.0,180
177.0,174
178.0,169
179.0,164
180.0,155
181.0,148
182.0,143
183.0,139
184.0,136
185.0,129
186.0,122
187.0,120
188.0,116
189.0,114
190.0,109
191.0,104
192.0,100
193.0,93
194.0,93
195.0,89
196.0,82
197.0,81
198.0,77
199.0,73
200.0,72
201.0,69
202.0,62
203.0,57
204.0,53
205.0,185
206.0,183
207.0,176
208.0,172
209.0,167
210.0,160
211.0,152
212.0,149
213.0,145
214.0,141
215.0,137
216.0,134
217.0,131
218.0,122
219.0,117
220.0,109
221.0,107
222.0,105
223.0,98
224.0,93
225.0,88
226.0,83
227.0,74
228.0,69
229.0,62
230.0,56
231.0,55
232.0,192
233.0,187
234.0,178
235.0,177
236.0,170
237.0,165
238.0,155
239.0,152
240.0,147
241.0,142
242.0,141
243.0,136
244.0,132
245.0,126
246.0,117
247.0,112
248.0,105
249.0,97
250.0,90
251.0,86
252.0,83
253.0,78
254.0,72
255.0,66
256.0,62
257.0,60
258.0,197
259.0,191
260.0,183
261.0,178
262.0,173
263.0,168
264.0,163
265.0,154
266.0,148
267.0,144
268.0,138
269.0,131
270.0,129
271.0,126
272.0,121
273.0,116
274.0,111
275.0,106
276.0,101
277.0,95
278.0,93
279.0,89
280.0,84
281.0,77
282.0,76
283.0,70
284.0,64
285.0,60
286.0,53
287.0,49
288.0,184
289.0,179
290.0,173
291.0,166
292.0,156
293.0,150
294.0,147
295.0,142
296.0,138
297.0,129
298.0,121
299.0,118
300.0,116
301.0,109
302.0,105
303.0,99
304.0,92
305.0,87
306.0,85
307.0,79
308.0,69
309.0,62
310.0,54
311.0,42
312.0,180
313.0,173
314.0,168
315.0,161
316.0,156
317.0,153
318.0,149
319.0,147
320.0,143
321.0,137
322.0,134
323.0,124
324.0,118
325.0,113
326.0,106
327.0,101
328.0,98
329.0,95
330.0,94
331.0,91
332.0,86
333.0,85
334.0,83
335.0,76
336.0,73
337.0,70
338.0,68
339.0,67
340.0,64
341.0,58
342.0,53
343.0,47
344.0,183
345.0,177
346.0,175
347.0,169
348.0,163
349.0,160
350.0,151
